Name,Slug,Affiliate Link
1Password,1password,
Ably,ably,
Abstract,abstract,
ActiveCampaign,activecampaign,
ADP,adp,https://adp.partnerlinks.io/na95yqt6x8zk
AgencyAnalytics,agencyanalytics,https://try.agencyanalytics.com/c1w56vxnfixs
Ahrefs,ahrefs,
AI21 Labs,ai21-labs,
Aircall,aircall,
Airia,airia,https://try.airia.com/ous5rztphy19-az7nx
airSlate,airslate,https://partnerstack.signnow.com/w5hkejlk8bp4
Airtable,airtable,
AiSDR,aisdr,https://partner.aisdr.com/a9pxynqa9ef3
Algolia,algolia,
Almanac,almanac,
Amazon SES,amazon-ses,
Amplitude,amplitude,
Anthropic,anthropic,
Anyscale,anyscale,
Apollo.io,apollo,
Appsmith,appsmith,
Appwrite,appwrite,
Archbee,archbee,
Around,around,
Asana,asana,
Assembly,assembly,https://try.assembly.com/d7eqatphsr9e-sjva52h
AssemblyAI,assemblyai,
Astro,astro,
Atria,atria,https://affiliates.tryatria.com/y1prvo64lydd
Attio,attio,
Auth0,auth0,
AWS Activate,aws-activate,
Axiom,axiom,
Backblaze,backblaze,
Bamboo HR,bamboohr,
Basecamp,basecamp,
Beamer,beamer,
Beefree SDK,beefree-sdk,
Beehiiv,beehiiv,
Bench,bench,
BetterStack,betterstack,
Bitwarden,bitwarden,
Bland AI,bland-ai,
Bouncer,bouncer,https://withlove.usebouncer.com/umv8hfjgnjze
Brevo,brevo,
Brex,brex,
BrowserStack,browserstack,
Bubble,bubble,
Budibase,budibase,
Buffer,buffer,
Bugsnag,bugsnag,
Buildkite,buildkite,
Bun,bun,
Bunny.net,bunny-net,
Cal.com,calcom,
Calendly,calendly,
Calendso,calendso,
Canny,canny,
Canva Pro,canva,
Capacitor,capacitor,
Carrd,carrd,
Carta,carta,
Chameleon,chameleon,
Chargebee,chargebee,
CharlieHR,charliehr,
Chatwoot,chatwoot,
Checkly,checkly,
ChromaDB,chromadb,
CircleCI,circleci,
Clearbit,clearbit,
Clearscope,clearscope,
Clerk,clerk,
Clerky,clerky,
ClickUp,clickup,
Clockify,clockify,
Close,close-crm,
Cloudflare,cloudflare,
Cloudinary,cloudinary,
CloudTask,cloudtask,https://get.cloudtask.com/ffhrcwzmno5v
Cloudways,cloudways,
CockroachDB,cockroachdb,
Coda,coda,
Codecov,codecov,
CodeSandbox,codesandbox,
Cohere,cohere,
Confluence,confluence,
Consensus,consensus,https://get.consensus.app/zza58uqqfzkq
Contentful,contentful,
ConvertKit,convertkit,
Convex,convex,
Coolify,coolify,
Copper,copper-crm,
Copy.ai,copy-ai,
Countly,countly,
Courier,courier,
Crazy Egg,crazy-egg,https://try.crazyegg.com/vn0a4rs17csg
Crisp,crisp,
Cron,cron-calendar,
Cronitor,cronitor,
Crowdin,crowdin,
Cursor,cursor,
Customer.io,customer-io,
Cypress,cypress,
Datadog,datadog,
DatoCMS,datocms,
Deel,deel,
Deepgram,deepgram,
Deno,deno,
Depot,depot,
Descope,descope,
Descript,descript,
Dify,dify,
DigitalOcean,digitalocean,
Directus,directus,
Docker,docker,
DocSend,docsend,
Docusign,docusign,
Doodle,doodle,
Doppler,doppler,
Dorik,dorik,
Drata,drata,
Drift,drift,
Drip,drip,
EdgeDB,edgedb,
Electron,electron,
ElevenLabs,elevenlabs,
Encore,encore,
Envoy,envoy,https://envoy.partnerlinks.io/aywkjbfomtfh
Excalidraw,excalidraw,
Expensify,expensify,
Expertise AI,expertise-ai,https://expertiseai.partnerlinks.io/lt5gwjjdu2vc
Expo,expo,
Fathom Analytics,fathom-analytics,
Fauna,fauna,
Featurebase,featurebase,
Fider,fider,
Figma,figma,
Fillout,fillout,
Firebase,firebase,
Fireflies.ai,fireflies-ai,
Flagsmith,flagsmith,
Fly.io,flyio,
folk,folk-crm,https://try.folk.app/8gzq66o0v0gp
Formbricks,formbricks,
Formspree,formspree,
Framer,framer,
Frase,frase,
Freshbooks,freshbooks,https://partner.freshbooks.com/yoqjt59rr3gd
Freshchat,freshchat,
Freshdesk,freshdesk,
Freshsales,freshsales,
Fullstory,fullstory,
FusionAuth,fusionauth,
Gather,gather,
GetResponse,getresponse,
Ghost,ghost,
GitBook,gitbook,
GitHub,github,
GitLab,gitlab,
Gitpod,gitpod,
Glide,glide,
Gong,gong,
Google Cloud,google-cloud,
Google Workspace,google-workspace,
Grafana Cloud,grafana-cloud,
Grain,grain,
Grammarly,grammarly,
Groq,groq,
Growthbook,growthbook,
Gumroad,gumroad,
Gusto,gusto,
Hanko,hanko,
HashiCorp Vault,hashicorp-vault,
Hashnode,hashnode,
Hasura,hasura,
Heap,heap,
Height,height,
Helicone,helicone,
Help Scout,help-scout,https://helpscout.partnerlinks.io/3tjelfb3s1k2
Heroku,heroku,
Hetzner,hetzner,
Highlight.io,highlight,
Honeybadger,honeybadger,
Hootsuite,hootsuite,
Hotjar,hotjar,
HubSpot for Startups,hubspot-for-startups,
Hubstaff,hubstaff,
Hugging Face,hugging-face,
Huly,huly,
Hume AI,hume-ai,https://try.hume.ai/dyiih3ffvvv7-r9s6xi
Hunter.io,hunter-io,
Hygraph,hygraph,
Inngest,inngest,
Insomnia,insomnia,
Instantly,instantly,https://refer.instantly.ai/o6ia91smnj2h
Instructor,instructor,
Intercom,intercom,
InVision,invision,
Iubenda,iubenda,
Jasper,jasper,
JetBrains,jetbrains,
Jira,jira,
Jitsu,jitsu,
June,june,
Justworks,justworks,
Kapwing,kapwing,
Keap,keap,
Kinde,kinde,
Klaviyo,klaviyo,
Knock,knock,
Kong,kong,
Krisp,krisp,
LambdaTest,lambdatest,
LangChain,langchain,
Langfuse,langfuse,
Later,later,https://try.later.com/wmi7mwnqpa3j
Lattice,lattice,
LaunchDarkly,launchdarkly,
Laxis,laxis,https://get.laxis.com/v5ugx45vam35
Lemlist,lemlist,
Lemon Squeezy,lemon-squeezy,
Leonardo AI,leonardo-ai,
Lightstep,lightstep,
Lindy,lindy-ai,https://try.lindy.ai/jwapdd3b6pyc
Linear,linear,
LinkedIn Sales Navigator,linkedin-sales-navigator,
Linode,linode,
LiveChat,livechat,
Livestorm,livestorm,https://get.livestorm.co/h8dmkplzs2cd
